num_layers,neurons,batch_size,epochs,learning_rate,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2
1,16,16,10,0.01,63333.84850413363,63420.94639979655,62725.87150407875,0.697131587686397,0.7072975839423958,0.7120407291349771
1,16,16,20,1e-05,60772.43449043881,60101.11870616097,59763.637936301995,0.7211340487025548,0.7371391051125696,0.7385963128158672
1,16,16,20,0.0001,60152.88749225954,61077.90959927378,60643.07557281086,0.7267908865856231,0.7285254012273974,0.7308464608401596
1,16,16,20,0.001,59810.912982275746,60082.371666296836,60800.45843237243,0.7298884925716473,0.7373030652923258,0.7294476161915388
1,16,16,20,0.01,58572.360977852855,59405.646018708605,59431.3106850743,0.7409594916881053,0.743187406705308,0.7414954012497676
1,16,16,50,1e-05,56688.60139758259,57825.792030105185,57406.42059889386,0.7573536807276692,0.7566652968931799,0.7588103905138815
1,16,16,50,0.0001,56412.07237372243,57786.39806002378,57128.5956310482,0.7597151817388594,0.7569967287494903,0.7611392710518619
1,16,16,50,0.001,59144.76867076673,59369.34347990582,59529.361936192654,0.735871723108283,0.7435011849789359,0.7406417230171441
1,16,16,50,0.01,56935.39170714986,57867.428676252304,57971.916922371194,0.755236390594908,0.756314751292494,0.7540351888213783
1,16,16,100,1e-05,55688.76396734798,56923.83700815617,56985.658110783384,0.7658374814803667,0.7641970667562399,0.7623330496678145
1,16,16,100,0.0001,55398.28225593056,56925.98960744678,55867.48046712865,0.7682739703787435,0.7641792324410968,0.7715685856324196
1,16,16,100,0.001,56243.750327472735,57756.50360324989,56795.54794358706,0.7611469636414533,0.7572480879614957,0.7639161685680258
1,16,16,100,0.01,55737.136146931254,56707.594130362115,56143.14081028136,0.7654305099486365,0.7659852052773117,0.769308779641488
1,16,32,10,1e-05,65682.27263213611,66615.80576848515,66299.76675073645,0.6742543946066379,0.6770647589354962,0.6782921500794827
1,16,32,10,0.0001,66248.84068701616,66978.13883063916,65600.92473044603,0.6686104657039456,0.6735422215754754,0.6850384204119432
1,16,32,10,0.001,67353.3466001745,67934.66933083395,67998.49759524972,0.6574684481913993,0.6641511992084717,0.6615953737428519
1,16,32,10,0.01,65411.31292545627,65875.20242992092,64246.56911205949,0.6769364539244871,0.6842053299163062,0.6979091730183176
1,16,32,20,1e-05,60414.122717924576,60929.10671258682,61135.61715629386,0.724412719014992,0.729846566145887,0.7264565887409515
1,16,32,20,0.0001,61663.00175707959,62763.28628495533,62438.782017623336,0.7129010872036101,0.7133366178124855,0.714670613463017
1,16,32,20,0.001,65790.67031707958,65533.272488282426,65458.55688750489,0.6731783293368976,0.6874751313313827,0.6864040031172419
1,16,32,20,0.01,62473.1760310709,63162.50384164514,62969.47120698109,0.7053072891959259,0.7096782683654328,0.7097997717502649
1,16,32,50,1e-05,57449.81791840495,58453.58527730057,58172.00843973809,0.7507934021435356,0.7513530260696943,0.7523343512738205
1,16,32,50,0.0001,60761.142656193624,61627.298746495944,60976.10635142274,0.7212376685618983,0.7236196678221225,0.727882147505507
1,16,32,50,0.001,59030.30548213957,59834.74191971651,59977.74839679342,0.7368930715875763,0.7394640159471839,0.7367199370093905
1,16,32,50,0.01,58524.140773740815,59368.37800948642,59475.55969019127,0.7413858308118588,0.7435095273317534,0.7411103237739542
